Date,Event
1/1/2014,New York Boat Show
1/2/2014,New York Boat Show
1/3/2014,New York Boat Show
1/4/2014,New York Boat Show
1/5/2014,New York Boat Show
9/10/2014,New York Boat Show
9/11/2014,New York Boat Show
9/12/2014,New York Boat Show
9/13/2014,New York Boat Show
9/14/2014,New York Boat Show
2/10/2014,Westminster Kennel Club Dog Show
2/11/2014,Westminster Kennel Club Dog Show
3/26/2014,Greek Independence Day Parade
3/17/2014,St Patricks Day Parade
4/20/2014,Easter Parade
4/18/2014,International Auto Show
4/19/2014,International Auto Show
4/20/2014,International Auto Show
4/21/2014,International Auto Show
4/22/2014,International Auto Show
4/23/2014,International Auto Show
4/24/2014,International Auto Show
4/25/2014,International Auto Show
4/26/2014,International Auto Show
4/27/2014,International Auto Show
4/26/2014,Cherry Blossom Festival
5/26/2014,Memorial Day Parade
5/15/2014,SoHo Festival
5/16/2014,SoHo Festival
5/17/2014,SoHo Festival
5/18/2014,SoHo Festival
5/19/2014,SoHo Festival
5/20/2014,SoHo Festival
5/21/2014,SoHo Festival
5/22/2014,SoHo Festival
7/4/2014,Independence Day Celebration
8/25/2014,US Open Tennis
8/26/2014,US Open Tennis
8/27/2014,US Open Tennis
8/28/2014,US Open Tennis
8/29/2014,US Open Tennis
8/30/2014,US Open Tennis
8/31/2014,US Open Tennis
9/1/2014,US Open Tennis
9/2/2014,US Open Tennis
9/3/2014,US Open Tennis
9/4/2014,US Open Tennis
9/5/2014,US Open Tennis
9/6/2014,US Open Tennis
9/7/2014,US Open Tennis
9/8/2014,US Open Tennis
9/1/2014,Labor Day Parade
11/2/2014,NYC Marathon
11/27/2014,Thanksgiving Day Parade
12/3/2014,Rockefeller Center Christmas Tree Lighting
12/31/2014,New Years Eve Celebration
1/21/2015,New York Boat Show
1/22/2015,New York Boat Show
1/23/2015,New York Boat Show
1/24/2015,New York Boat Show
1/25/2015,New York Boat Show
9/16/2015,New York Boat Show
9/17/2015,New York Boat Show
9/18/2015,New York Boat Show
9/19/2015,New York Boat Show
9/20/2015,New York Boat Show
2/16/2015,Westminster Kennel Club Dog Show
2/17/2015,Westminster Kennel Club Dog Show
3/29/2015,Greek Independence Day Parade
3/16/2015,St Patricks Day Parade
4/5/2015,Easter Parade
4/3/2015,International Auto Show
4/4/2015,International Auto Show
4/5/2015,International Auto Show
4/6/2015,International Auto Show
4/7/2015,International Auto Show
4/8/2015,International Auto Show
4/9/2015,International Auto Show
4/10/2015,International Auto Show
4/11/2015,International Auto Show
4/12/2015,International Auto Show
4/25/2015,Cherry Blossom Festival
5/25/2015,Memorial Day Parade
5/14/2015,SoHo Festival
5/15/2015,SoHo Festival
5/16/2015,SoHo Festival
5/17/2015,SoHo Festival
5/18/2015,SoHo Festival
5/19/2015,SoHo Festival
5/20/2015,SoHo Festival
5/21/2015,SoHo Festival
7/4/2015,Independence Day Celebration
8/31/2015,US Open Tennis
9/1/2015,US Open Tennis
9/2/2015,US Open Tennis
9/3/2015,US Open Tennis
9/4/2015,US Open Tennis
9/5/2015,US Open Tennis
9/6/2015,US Open Tennis
9/7/2015,US Open Tennis
9/8/2015,US Open Tennis
9/9/2015,US Open Tennis
9/10/2015,US Open Tennis
9/11/2015,US Open Tennis
9/12/2015,US Open Tennis
9/13/2015,US Open Tennis
9/7/2015,Labor Day Parade
11/1/2015,NYC Marathon
11/26/2015,Thanksgiving Day Parade
12/2/2015,Rockefeller Center Christmas Tree Lighting
12/31/2015,New Years Eve Celebration
