STATION,NAME,DATE,PRCP,SNOW,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",1/1/2010,0.03,0,40,33
USW00094728,"NY CITY CENTRAL PARK, NY US",1/2/2010,0.02,0.2,34,17
USW00094728,"NY CITY CENTRAL PARK, NY US",1/3/2010,0,0,22,17
USW00094728,"NY CITY CENTRAL PARK, NY US",1/4/2010,0,0,30,19
USW00094728,"NY CITY CENTRAL PARK, NY US",1/5/2010,0,0,30,20
USW00094728,"NY CITY CENTRAL PARK, NY US",1/6/2010,0,0,34,26
USW00094728,"NY CITY CENTRAL PARK, NY US",1/7/2010,0,0,37,30
USW00094728,"NY CITY CENTRAL PARK, NY US",1/8/2010,0.05,0.6,33,23
USW00094728,"NY CITY CENTRAL PARK, NY US",1/9/2010,0,0,30,18
USW00094728,"NY CITY CENTRAL PARK, NY US",1/10/2010,0,0,28,14
USW00094728,"NY CITY CENTRAL PARK, NY US",1/11/2010,0,0,31,21
USW00094728,"NY CITY CENTRAL PARK, NY US",1/12/2010,0,0,35,24
USW00094728,"NY CITY CENTRAL PARK, NY US",1/13/2010,0,0,35,24
USW00094728,"NY CITY CENTRAL PARK, NY US",1/14/2010,0,0,42,30
USW00094728,"NY CITY CENTRAL PARK, NY US",1/15/2010,0,0,50,35
USW00094728,"NY CITY CENTRAL PARK, NY US",1/16/2010,0,0,49,38
USW00094728,"NY CITY CENTRAL PARK, NY US",1/17/2010,0.57,0,46,35
USW00094728,"NY CITY CENTRAL PARK, NY US",1/18/2010,0.05,0,50,37
USW00094728,"NY CITY CENTRAL PARK, NY US",1/19/2010,0,0,48,40
USW00094728,"NY CITY CENTRAL PARK, NY US",1/20/2010,0,0,41,34
USW00094728,"NY CITY CENTRAL PARK, NY US",1/21/2010,0,0,41,31
USW00094728,"NY CITY CENTRAL PARK, NY US",1/22/2010,0,0,44,32
USW00094728,"NY CITY CENTRAL PARK, NY US",1/23/2010,0,0,40,28
USW00094728,"NY CITY CENTRAL PARK, NY US",1/24/2010,0.02,0,50,32
USW00094728,"NY CITY CENTRAL PARK, NY US",1/25/2010,1.25,0,57,49
USW00094728,"NY CITY CENTRAL PARK, NY US",1/26/2010,0,0,49,35
USW00094728,"NY CITY CENTRAL PARK, NY US",1/27/2010,0,0,39,31
USW00094728,"NY CITY CENTRAL PARK, NY US",1/28/2010,0.09,1.3,42,20
USW00094728,"NY CITY CENTRAL PARK, NY US",1/29/2010,0,0,23,16
USW00094728,"NY CITY CENTRAL PARK, NY US",1/30/2010,0,0,20,13
USW00094728,"NY CITY CENTRAL PARK, NY US",1/31/2010,0,0,30,14
USW00094728,"NY CITY CENTRAL PARK, NY US",2/1/2010,0,0,35,25
USW00094728,"NY CITY CENTRAL PARK, NY US",2/2/2010,0.03,0.8,33,27
