CMPLNT_FR_DT,Day_Name,Month,Day,Year,Season,GeoCell,BORO_NM,count_cmplnt,PRCP,SNOW,Population,PC_INCOME,Hm_Sls_Price_Range
1/1/2014,Wednesday,January,1.0,2014.0,Winter,1.0,STATEN ISLAND,3,0.0,0.0,"468,730",48123,Low
1/1/2014,Wednesday,January,1.0,2014.0,Winter,2.0,STATEN ISLAND,2,0.0,0.0,"468,730",48123,Low
1/1/2014,Wednesday,January,1.0,2014.0,Winter,12.0,STATEN ISLAND,6,0.0,0.0,"468,730",48123,Low
1/1/2014,Wednesday,January,1.0,2014.0,Winter,13.0,STATEN ISLAND,5,0.0,0.0,"468,730",48123,Low
1/1/2014,Wednesday,January,1.0,2014.0,Winter,22.0,STATEN ISLAND,5,0.0,0.0,"468,730",48123,Low
1/1/2014,Wednesday,January,1.0,2014.0,Winter,23.0,STATEN ISLAND,9,0.0,0.0,"468,730",48123,Low
1/1/2014,Wednesday,January,1.0,2014.0,Winter,24.0,STATEN ISLAND,8,0.0,0.0,"468,730",48123,Low
1/1/2014,Wednesday,January,1.0,2014.0,Winter,32.0,STATEN ISLAND,6,0.0,0.0,"468,730",48123,Low
1/1/2014,Wednesday,January,1.0,2014.0,Winter,33.0,STATEN ISLAND,25,0.0,0.0,"468,730",48123,Low
1/1/2014,Wednesday,January,1.0,2014.0,Winter,34.0,STATEN ISLAND,5,0.0,0.0,"468,730",48123,Low
1/10/2014,Friday,January,10.0,2014.0,Winter,2.0,STATEN ISLAND,3,0.11,0.0,"468,730",48123,Low
1/10/2014,Friday,January,10.0,2014.0,Winter,12.0,STATEN ISLAND,4,0.11,0.0,"468,730",48123,Low
1/10/2014,Friday,January,10.0,2014.0,Winter,13.0,STATEN ISLAND,1,0.11,0.0,"468,730",48123,Low
1/10/2014,Friday,January,10.0,2014.0,Winter,22.0,STATEN ISLAND,4,0.11,0.0,"468,730",48123,Low
1/10/2014,Friday,January,10.0,2014.0,Winter,23.0,STATEN ISLAND,2,0.11,0.0,"468,730",48123,Low
1/10/2014,Friday,January,10.0,2014.0,Winter,24.0,STATEN ISLAND,9,0.11,0.0,"468,730",48123,Low
1/10/2014,Friday,January,10.0,2014.0,Winter,32.0,STATEN ISLAND,4,0.11,0.0,"468,730",48123,Low
1/10/2014,Friday,January,10.0,2014.0,Winter,33.0,STATEN ISLAND,9,0.11,0.0,"468,730",48123,Low
1/10/2014,Friday,January,10.0,2014.0,Winter,34.0,STATEN ISLAND,4,0.11,0.0,"468,730",48123,Low
1/11/2014,Saturday,January,11.0,2014.0,Winter,1.0,STATEN ISLAND,2,0.5,0.0,"468,730",48123,Low
1/11/2014,Saturday,January,11.0,2014.0,Winter,2.0,STATEN ISLAND,1,0.5,0.0,"468,730",48123,Low
