,CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon,Start_Dt_Tm,End_Dt_Tm,Day_Name,Duration,Duration_to_PD,Month,Day,Year,Duration_lbl,Season,Daytime
0,101109527,12/31/2015,23:45:00,,,12/31/2015,113,FORGERY,729.0,"FORGERY,ETC.,UNCLASSIFIED-FELO",COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,44.0,INSIDE,BAR/NIGHT CLUB,,,1007314.0,241257.0,40.82884833,-73.91666114,"(40.828848333, -73.916661142)",2015-12-31 23:45:00,,,,0.0,December,31.0,2015.0,,Winter,Late Night
1,153401121,12/31/2015,23:36:00,,,12/31/2015,101,MURDER & NON-NEGL. MANSLAUGHTER,,,COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,103.0,OUTSIDE,,,,1043991.0,193406.0,40.69733814,-73.78455674,"(40.697338138, -73.784556739)",2015-12-31 23:36:00,,,,0.0,December,31.0,2015.0,,Winter,Late Night
2,569369778,12/31/2015,23:30:00,,,12/31/2015,117,DANGEROUS DRUGS,503.0,"CONTROLLED SUBSTANCE,INTENT TO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,28.0,,OTHER,,,999463.0,231690.0,40.80260661,-73.94505191,"(40.802606608, -73.945051911)",2015-12-31 23:30:00,,,,0.0,December,31.0,2015.0,,Winter,Late Night
3,968417082,12/31/2015,23:30:00,,,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,105.0,INSIDE,RESIDENCE-HOUSE,,,1060183.0,177862.0,40.65454944,-73.72633879,"(40.654549444, -73.726338791)",2015-12-31 23:30:00,,,,0.0,December,31.0,2015.0,,Winter,Late Night
4,641637920,12/31/2015,23:25:00,12/31/2015,23:30:00,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13.0,FRONT OF,OTHER,,,987606.0,208148.0,40.7380024,-73.98789129,"(40.7380024, -73.98789129)",2015-12-31 23:25:00,2015-12-31 23:30:00,,1.0,0.0,December,31.0,2015.0,Short,Winter,Late Night
5,365661343,12/31/2015,23:18:00,12/31/2015,23:25:00,12/31/2015,106,FELONY ASSAULT,109.0,"ASSAULT 2,1,UNCLASSIFIED",ATTEMPTED,FELONY,N.Y. POLICE DEPT,BROOKLYN,71.0,FRONT OF,DRUG STORE,,,996149.0,181562.0,40.66502269,-73.95711076,"(40.665022689, -73.957110763)",2015-12-31 23:18:00,2015-12-31 23:25:00,,1.0,0.0,December,31.0,2015.0,Short,Winter,Late Night
6,608231454,12/31/2015,23:15:00,,,12/31/2015,235,DANGEROUS DRUGS,511.0,"CONTROLLED SUBSTANCE, POSSESSI",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,7.0,OPPOSITE OF,STREET,,,987373.0,201662.0,40.7202,-73.98873508,"(40.720199996, -73.988735082)",2015-12-31 23:15:00,,,,0.0,December,31.0,2015.0,,Winter,Late Night
7,265023856,12/31/2015,23:15:00,12/31/2015,23:15:00,12/31/2015,118,DANGEROUS WEAPONS,792.0,WEAPONS POSSESSION 1 & 2,COMPLETED,FELONY,N.Y. POLICE DEPT,BRONX,46.0,FRONT OF,STREET,,,1009041.0,247401.0,40.84570715,-73.91039803,"(40.845707148, -73.910398033)",2015-12-31 23:15:00,2015-12-31 23:15:00,,0.0,0.0,December,31.0,2015.0,,Winter,Late Night
8,989238731,12/31/2015,23:15:00,12/31/2015,23:30:00,12/31/2015,344,ASSAULT 3 & RELATED OFFENSES,101.0,ASSAULT 3,COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,48.0,INSIDE,RESIDENCE - APT. HOUSE,,,1014154.0,251416.0,40.85671129,-73.89189996,"(40.856711291, -73.891899956)",2015-12-31 23:15:00,2015-12-31 23:30:00,,1.0,0.0,December,31.0,2015.0,Short,Winter,Late Night
9,415095955,12/31/2015,23:10:00,12/31/2015,23:10:00,12/31/2015,341,PETIT LARCENY,338.0,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,19.0,INSIDE,DRUG STORE,,,994327.0,218211.0,40.76561769,-73.96362342,"(40.765617688, -73.96362342)",2015-12-31 23:10:00,2015-12-31 23:10:00,,0.0,0.0,December,31.0,2015.0,,Winter,Late Night
